antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Yield_tons_per_hectare_Low'}),frozenset({'Rainfall_mm_Low'}),0.18082,0.22359,0.11819,0.6536334476274748,2.9233572504471343,1.0,0.0777604562,2.2415848028101544,0.8031538149042208,0.4129341066312626,0.5538870540403585,0.5911174528266628
frozenset({'Rainfall_mm_Low'}),frozenset({'Yield_tons_per_hectare_Low'}),0.22359,0.18082,0.11819,0.5286014580258509,2.923357250447135,1.0,0.0777604562,1.7377652390891842,0.8473970480715597,0.4129341066312626,0.4245482775773956,0.5911174528266628
frozenset({'Yield_tons_per_hectare_Low'}),frozenset({'Fertilizer_Used_False'}),0.18082,0.50098,0.15253,0.8435460679128415,1.683791903694442,1.0,0.0619427964,3.1895650901378576,0.49574255045549775,0.28818939293744217,0.6864776319843724,0.5740046599694353
frozenset({'Fertilizer_Used_False'}),frozenset({'Yield_tons_per_hectare_Low'}),0.50098,0.18082,0.15253,0.304463252026029,1.6837919036944418,1.0,0.0619427964,1.1777666706844598,0.8137998125969593,0.28818939293744217,0.15093538907935858,0.5740046599694353
frozenset({'Irrigation_Used_False'}),frozenset({'Yield_tons_per_hectare_Low'}),0.4998,0.18082,0.13779,0.27569027611044417,1.5246669401086392,1.0,0.04741616399999998,1.1309802602138062,0.6879629162922245,0.25383637602932774,0.11581126994121457,0.518859406388371
frozenset({'Yield_tons_per_hectare_Low'}),frozenset({'Irrigation_Used_False'}),0.18082,0.4998,0.13779,0.7620285366662979,1.5246669401086392,1.0,0.04741616399999998,2.1019326981175914,0.42007745639465155,0.25383637602932774,0.5242473743828426,0.518859406388371
"frozenset({'Irrigation_Used_False', 'Yield_tons_per_hectare_Low'})",frozenset({'Fertilizer_Used_False'}),0.13779,0.50098,0.11051,0.8020175629581247,1.600897367076779,1.0,0.041479965800000004,2.520526605571847,0.43533517069625244,0.2091962291295953,0.603257510637098,0.511302605583817
"frozenset({'Irrigation_Used_False', 'Fertilizer_Used_False'})",frozenset({'Yield_tons_per_hectare_Low'}),0.25236,0.18082,0.11051,0.4379061657948962,2.4217794812238482,1.0,0.0648782648,1.457372328516038,0.7852448887747601,0.34248613134161837,0.3138335479319517,0.5245332178382732
frozenset({'Yield_tons_per_hectare_Low'}),"frozenset({'Irrigation_Used_False', 'Fertilizer_Used_False'})",0.18082,0.25236,0.11051,0.6111602698816502,2.421779481223848,1.0,0.0648782648,1.9227459081211775,0.7166684839028805,0.34248613134161837,0.47991047814676874,0.5245332178382732
frozenset({'Fertilizer_Used_False'}),"frozenset({'Irrigation_Used_False', 'Yield_tons_per_hectare_Low'})",0.50098,0.13779,0.11051,0.22058764820950935,1.6008973670767788,1.0,0.041479965800000004,1.1062308648551746,0.752174937930375,0.2091962291295953,0.09602956148677161,0.511302605583817
"frozenset({'Irrigation_Used_False', 'Yield_tons_per_hectare_Medium', 'Fertilizer_Used_False'})",frozenset({'Rainfall_mm_High'}),0.14155,0.44284,0.10928,0.7720240197809961,1.7433475290872462,1.0,0.046595998,2.443941679578556,0.4966985894339342,0.2300098924459599,0.5908249331987151,0.5093974312616479
frozenset({'Rainfall_mm_High'}),"frozenset({'Irrigation_Used_False', 'Yield_tons_per_hectare_Medium', 'Fertilizer_Used_False'})",0.44284,0.14155,0.10928,0.2467708427422997,1.7433475290872462,1.0,0.046595998,1.1396930027581242,0.7652934598671132,0.2300098924459599,0.12257072950352346,0.5093974312616479
